n u uR uL e
0.0 0.0 0.0 0.0 -65.0
1.0 0.314159244688 13.0 -13.0 -63.0
2.0 1.2566357385 12.0 -12.0 -63.0
3.0 2.8274183192 13.0 -13.0 -63.0
4.0 5.02646357837 13.0 -13.0 -63.0
5.0 7.85365865591 14.0 -14.0 -63.0
6.0 11.3087691584 14.0 -14.0 -66.0
7.0 15.3913722129 16.0 -16.0 -38.0
8.0 20.1007746815 11.0 -11.0 -63.0
9.0 25.4359165789 17.0 -17.0 -39.0
10.0 31.3952597647 14.0 -14.0 -38.0
11.0 37.9766620164 15.0 -15.0 -61.0
12.0 45.17723664 21.0 -21.0 -36.0
13.0 52.9931978302 17.0 -17.0 -35.0
14.0 61.4196920736 19.0 -19.0 -63.0
15.0 70.4506159688 26.0 -26.0 -63.0
16.0 80.0784209511 28.0 -28.0 -38.0
17.0 90.2939055265 25.0 -25.0 -63.0
18.0 101.085995765 32.0 -32.0 -37.0
19.0 112.441514966 29.0 -29.0 -38.0
20.0 124.344943582 32.0 -32.0 -17.0
21.0 136.778170706 30.0 -30.0 -35.0
22.0 149.720238632 36.0 -36.0 -41.0
23.0 163.147082263 40.0 -40.0 -17.0
24.0 177.031265393 38.0 -38.0 -16.0
25.0 191.341716183 41.0 -41.0 -19.0
26.0 206.043464453 45.0 -45.0 -35.0
27.0 221.09738375 51.0 -51.0 -14.0
28.0 236.459941464 50.0 -50.0 -16.0
29.0 252.08296064 53.0 -53.0 -17.0
30.0 267.913397489 56.0 -56.0 -16.0
31.0 283.893138955 59.0 -59.0 -16.0
32.0 299.958825076 63.0 -63.0 8.0
33.0 316.041701228 61.0 -61.0 8.0
34.0 332.067505692 64.0 -64.0 30.0
35.0 347.956398296 63.0 -63.0 53.0
36.0 363.622936212 62.0 -62.0 53.0
37.0 378.976103206 65.0 -65.0 76.0
38.0 393.919398883 63.0 -63.0 53.0
39.0 408.350994593 71.0 -71.0 53.0
40.0 422.163962751 73.0 -73.0 76.0
41.0 435.246586301 71.0 -71.0 81.0
42.0 447.482754952 73.0 -73.0 97.0
43.0 458.752454582 72.0 -72.0 121.0
44.0 468.932355824 69.0 -69.0 137.0
45.0 477.896507399 68.0 -68.0 182.0
46.0 485.517139027 60.0 -60.0 208.0
47.0 491.66557797 56.0 -56.0 213.0
48.0 496.213282194 56.0 -56.0 211.0
49.0 499.032991935 57.0 -57.0 208.0
50.0 500.0 58.0 -58.0 208.0
51.0 498.993539491 58.0 -58.0 226.0
52.0 495.898285753 53.0 -53.0 223.0
53.0 490.605967247 53.0 -53.0 218.0
54.0 483.017077707 53.0 -53.0 223.0
55.0 473.042679414 50.0 -50.0 223.0
56.0 460.606284649 47.0 -47.0 248.0
57.0 445.645799468 39.0 -39.0 223.0
58.0 428.115510842 41.0 -41.0 223.0
59.0 407.988094985 36.0 -36.0 218.0
60.0 385.256621388 33.0 -33.0 223.0
61.0 359.936523754 27.0 -27.0 223.0
62.0 332.067505692 21.0 -21.0 218.0
63.0 301.715345836 16.0 -16.0 223.0
64.0 268.973563992 9.0 -9.0 223.0
65.0 233.96490713 2.0 -2.0 218.0
66.0 196.842611614 -4.0 4.0 220.0
67.0 157.791396068 -12.0 12.0 223.0
68.0 117.028137888 -21.0 21.0 223.0
69.0 74.8021856483 -29.0 29.0 218.0
70.0 31.3952597647 -37.0 37.0 213.0
71.0 -12.8791052713 -45.0 45.0 223.0
72.0 -57.6766217042 -56.0 56.0 209.0
73.0 -102.623853829 -62.0 62.0 169.0
74.0 -147.320404807 -63.0 63.0 139.0
75.0 -191.341716183 -66.0 66.0 121.0
76.0 -234.24250409 -71.0 71.0 121.0
77.0 -275.560847418 -79.0 79.0 77.0
78.0 -314.822932985 -78.0 78.0 30.0
79.0 -351.548451062 -76.0 76.0 30.0
80.0 -385.256621388 -83.0 83.0 -17.0
81.0 -415.472815244 -79.0 79.0 -16.0
82.0 -441.735723343 -85.0 85.0 -63.0
83.0 -463.605002391 -80.0 80.0 -114.0
84.0 -480.669315464 -73.0 73.0 -128.0
85.0 -492.554663077 -72.0 72.0 -157.0
86.0 -498.932883383 -68.0 68.0 -177.0
87.0 -499.530181729 -64.0 64.0 -220.0
88.0 -494.135532309 -54.0 54.0 -233.0
89.0 -482.608778367 -49.0 49.0 -236.0
90.0 -464.888242944 -45.0 45.0 -236.0
91.0 -440.997650147 -40.0 40.0 -266.0
92.0 -411.05214791 -29.0 29.0 -269.0
93.0 -375.263218018 -21.0 21.0 -269.0
94.0 -333.942258296 -12.0 12.0 -266.0
95.0 -287.502626022 -4.0 4.0 -269.0
96.0 -236.459941464 6.0 -6.0 -269.0
97.0 -181.430466354 17.0 -17.0 -262.0
98.0 -123.127394651 27.0 -27.0 -273.0
99.0 -62.354922407 42.0 -42.0 -236.0
100.0 -1.22464679915e-13 47.0 -47.0 -223.0
101.0 62.9782864175 57.0 -57.0 -219.0
102.0 125.561707083 68.0 -68.0 -190.0
103.0 186.688200492 75.0 -75.0 -175.0
104.0 245.269388686 84.0 -84.0 -157.0
105.0 300.210112663 91.0 -91.0 -130.0
106.0 350.429734158 96.0 -96.0 -65.0
107.0 394.884877786 91.0 -91.0 -36.0
108.0 432.593215258 93.0 -93.0 30.0
109.0 462.65782323 86.0 -86.0 77.0
110.0 484.291580564 81.0 -81.0 121.0
111.0 496.841012071 75.0 -75.0 164.0
112.0 499.808936628 67.0 -67.0 182.0
113.0 492.875240883 62.0 -62.0 248.0
114.0 475.915078099 45.0 -45.0 248.0
115.0 449.01378788 40.0 -40.0 254.0
116.0 412.477848779 31.0 -31.0 254.0
117.0 366.841214382 22.0 -22.0 251.0
118.0 312.866445886 12.0 -12.0 254.0
119.0 251.540141584 0.0 0.0 254.0
120.0 184.062276342 -13.0 13.0 248.0
121.0 111.829201714 -27.0 27.0 254.0
122.0 36.4102183017 -43.0 43.0 223.0
123.0 -40.4821859163 -52.0 52.0 220.0
124.0 -117.028137888 -67.0 67.0 223.0
125.0 -191.341716183 -82.0 82.0 182.0
126.0 -261.517095579 -88.0 88.0 149.0
127.0 -325.678551911 -94.0 94.0 121.0
128.0 -382.033165152 -100.0 100.0 53.0
129.0 -428.924859398 -96.0 96.0 -16.0
130.0 -464.888242944 -89.0 89.0 -62.0
131.0 -488.700569325 -85.0 85.0 -132.0
132.0 -499.430039968 -73.0 73.0 -188.0
133.0 -496.478619765 -61.0 61.0 -218.0
134.0 -479.617546264 -52.0 52.0 -233.0
135.0 -449.01378788 -43.0 43.0 -273.0
136.0 -405.245851594 -26.0 26.0 -266.0
137.0 -349.307558655 -16.0 16.0 -269.0
138.0 -282.598698275 -2.0 2.0 -269.0
139.0 -206.901831395 12.0 -12.0 -266.0
140.0 -124.344943582 28.0 -28.0 -273.0
141.0 -37.3501286426 47.0 -47.0 -269.0
142.0 51.4309899468 64.0 -64.0 -266.0
143.0 139.193840345 81.0 -81.0 -233.0
144.0 223.067666909 91.0 -91.0 -189.0
145.0 300.210112663 97.0 -97.0 -172.0
146.0 367.906746704 107.0 -107.0 -80.0
147.0 423.672219387 100.0 -100.0 -39.0
148.0 465.34937317 100.0 -100.0 53.0
149.0 491.202395989 87.0 -87.0 122.0
150.0 500.0 75.0 -75.0 171.0
151.0 491.084660844 64.0 -64.0 226.0
152.0 464.424176232 47.0 -47.0 220.0
153.0 420.642206395 40.0 -40.0 251.0
154.0 361.025044512 22.0 -22.0 254.0
155.0 287.502626022 6.0 -6.0 248.0
156.0 202.60270638 -9.0 9.0 254.0
157.0 109.378192441 -28.0 28.0 254.0
158.0 11.3087691584 -48.0 48.0 248.0
159.0 -87.8208222012 -67.0 67.0 223.0
160.0 -184.062276342 -81.0 81.0 223.0
161.0 -273.460236617 -99.0 99.0 166.0
162.0 -352.218016481 -103.0 103.0 121.0
163.0 -416.865829836 -107.0 107.0 53.0
164.0 -464.424176232 -103.0 103.0 -17.0
165.0 -492.554663077 -95.0 95.0 -126.0
166.0 -499.690521137 -74.0 74.0 -176.0
167.0 -485.139417289 -61.0 61.0 -223.0
168.0 -449.151910206 -45.0 45.0 -266.0
169.0 -392.950032155 -25.0 25.0 -269.0
170.0 -318.711994874 -9.0 9.0 -269.0
171.0 -229.510868676 7.0 -7.0 -262.0
172.0 -129.207208172 26.0 -26.0 -273.0
173.0 -22.2979102516 50.0 -50.0 -273.0
174.0 86.2740143728 71.0 -71.0 -262.0
175.0 191.341716183 90.0 -90.0 -236.0
176.0 287.759598568 104.0 -104.0 -177.0
177.0 370.660111088 109.0 -109.0 -128.0
178.0 435.709681983 112.0 -112.0 -63.0
179.0 479.350341343 108.0 -108.0 8.0
180.0 499.013364214 98.0 -98.0 121.0
181.0 493.291780753 74.0 -74.0 182.0
182.0 462.05989861 56.0 -56.0 223.0
183.0 406.530059608 36.0 -36.0 254.0
184.0 329.239660279 15.0 -15.0 281.0
185.0 233.96490713 -9.0 9.0 251.0
186.0 125.561707083 -25.0 25.0 254.0
187.0 9.73832143248 -48.0 48.0 251.0
188.0 -107.231290223 -71.0 71.0 254.0
189.0 -218.840396658 -94.0 94.0 223.0
190.0 -318.711994874 -108.0 108.0 180.0
191.0 -400.971250702 -116.0 116.0 122.0
192.0 -460.606284649 -116.0 116.0 53.0
193.0 -493.794927483 -109.0 109.0 -35.0
194.0 -498.175628495 -92.0 92.0 -125.0
195.0 -473.042679414 -69.0 69.0 -222.0
196.0 -419.449316114 -39.0 39.0 -268.0
197.0 -340.206981198 -14.0 14.0 -269.0
198.0 -239.774878004 5.0 -5.0 -269.0
199.0 -124.040629683 28.0 -28.0 -273.0
200.0 -4.89858719659e-13 54.0 -54.0 -266.0
201.0 124.649208392 78.0 -78.0 -269.0
202.0 241.977274588 102.0 -102.0 -236.0
203.0 344.329179701 116.0 -116.0 -172.0
204.0 424.835943852 119.0 -119.0 -130.0
205.0 477.896507399 121.0 -121.0 -36.0
206.0 499.595795476 107.0 -107.0 76.0
207.0 488.026816366 82.0 -82.0 166.0
208.0 443.489297441 55.0 -55.0 226.0
209.0 368.544323845 28.0 -28.0 251.0
210.0 267.913397489 3.0 -3.0 251.0
211.0 148.220781948 -20.0 20.0 254.0
212.0 17.5892889526 -47.0 47.0 254.0
213.0 -114.888982707 -73.0 73.0 251.0
214.0 -239.774878004 -98.0 98.0 254.0
215.0 -347.956398296 -120.0 120.0 197.0
216.0 -431.32747343 -125.0 125.0 137.0
217.0 -483.420609863 -124.0 124.0 52.0
218.0 -499.943152156 -110.0 110.0 -65.0
219.0 -479.17125847 -82.0 82.0 -172.0
220.0 -422.163962751 -50.0 50.0 -233.0
221.0 -332.771523678 -19.0 19.0 -269.0
222.0 -217.426968278 10.0 -10.0 -266.0
223.0 -84.7263550547 36.0 -36.0 -269.0
224.0 55.1794067382 64.0 -64.0 -273.0
225.0 191.341716183 92.0 -92.0 -266.0
226.0 312.866445886 115.0 -115.0 -222.0
227.0 409.796138892 126.0 -126.0 -177.0
228.0 473.950966111 130.0 -130.0 -84.0
229.0 499.656478414 116.0 -116.0 8.0
230.0 484.291580564 95.0 -95.0 127.0
231.0 428.601627527 60.0 -60.0 223.0
232.0 336.738552277 22.0 -22.0 251.0
233.0 216.011393981 -6.0 6.0 254.0
234.0 76.3549324491 -35.0 35.0 254.0
235.0 -70.4506159688 -64.0 64.0 251.0
236.0 -211.751935408 -92.0 92.0 254.0
237.0 -335.109697039 -117.0 117.0 223.0
238.0 -429.408437049 -130.0 130.0 166.0
239.0 -485.890068907 -130.0 130.0 76.0
240.0 -499.013364214 -115.0 115.0 -38.0
241.0 -467.052408927 -85.0 85.0 -140.0
242.0 -392.366549941 -50.0 50.0 -236.0
243.0 -281.301468459 -9.0 9.0 -269.0
244.0 -143.713693887 25.0 -25.0 -269.0
245.0 7.85365865591 55.0 -55.0 -269.0
246.0 159.281140512 85.0 -85.0 -269.0
247.0 296.175356651 113.0 -113.0 -223.0
248.0 405.245851594 125.0 -125.0 -172.0
249.0 475.625244828 129.0 -129.0 -101.0
250.0 500.0 120.0 -120.0 8.0
251.0 475.431083737 93.0 -93.0 121.0
252.0 403.768587685 56.0 -56.0 184.0
253.0 291.60049771 21.0 -21.0 254.0
254.0 149.720238632 -20.0 20.0 248.0
255.0 -7.85365865592 -51.0 51.0 254.0
256.0 -165.224251086 -83.0 83.0 251.0
257.0 -306.205231833 -111.0 111.0 218.0
258.0 -415.996427776 -126.0 126.0 166.0
259.0 -482.772669908 -129.0 129.0 97.0
260.0 -499.013364214 -119.0 119.0 -17.0
261.0 -462.419201002 -89.0 89.0 -125.0
262.0 -376.299410177 -50.0 50.0 -225.0
263.0 -249.364901777 -4.0 4.0 -269.0
264.0 -94.924738657 34.0 -34.0 -266.0
265.0 70.4506159688 67.0 -67.0 -269.0
