n	uL	uR	sensor 0	sensor 1	sensor 2	sensor 3	sensor 4	sensor 5	error
0.0	0.0	0.0	290.0	11.0	4.0	5.0	10.0	4.0	-2500.0
1.0	-400.0	400.0	290.0	0.0	4.0	5.0	0.0	0.0	-2500.0
2.0	-400.0	400.0	323.0	0.0	4.0	5.0	0.0	0.0	-2500.0
3.0	-400.0	400.0	683.0	11.0	9.0	10.0	10.0	4.0	-2500.0
4.0	-400.0	400.0	1000.0	63.0	4.0	5.0	0.0	0.0	-2441.0
5.0	-400.0	400.0	1000.0	248.0	50.0	5.0	53.0	0.0	-2147.0
6.0	-400.0	400.0	173.0	1000.0	45.0	0.0	0.0	0.0	-1648.0
7.0	-400.0	400.0	0.0	1000.0	100.0	5.0	0.0	0.0	-1410.0
8.0	-400.0	400.0	0.0	878.0	440.0	56.0	53.0	0.0	-1002.0
9.0	-400.0	400.0	0.0	179.0	1000.0	102.0	48.0	0.0	-561.0
10.0	-280.0	280.0	0.0	52.0	894.0	438.0	48.0	0.0	-222.0
11.0	-111.0	111.0	0.0	0.0	389.0	1000.0	112.0	0.0	315.0
12.0	157.0	-157.0	0.0	0.0	91.0	1000.0	338.0	0.0	672.0
13.0	336.0	-336.0	0.0	0.0	45.0	658.0	1000.0	26.0	1103.0
14.0	400.0	-400.0	0.0	0.0	50.0	551.0	1000.0	24.0	1144.0
15.0	400.0	-400.0	0.0	0.0	45.0	709.0	1000.0	24.0	1085.0
16.0	400.0	-400.0	3.0	5.0	100.0	994.0	580.0	0.0	786.0
17.0	393.0	-393.0	0.0	0.0	288.0	1000.0	107.0	0.0	370.0
18.0	185.0	-185.0	0.0	0.0	738.0	765.0	53.0	0.0	59.0
19.0	29.0	-29.0	3.0	127.0	1000.0	224.0	59.0	0.0	-348.0
20.0	-174.0	174.0	0.0	300.0	1000.0	51.0	48.0	0.0	-685.0
21.0	-342.0	342.0	0.0	612.0	692.0	51.0	0.0	0.0	-915.0
22.0	-400.0	400.0	0.0	676.0	587.0	51.0	0.0	0.0	-976.0
23.0	-400.0	400.0	0.0	439.0	848.0	56.0	53.0	0.0	-699.0
24.0	-349.0	349.0	0.0	184.0	1000.0	107.0	53.0	0.0	-479.0
25.0	-239.0	239.0	0.0	52.0	1000.0	321.0	48.0	0.0	-305.0
26.0	-152.0	152.0	0.0	0.0	596.0	938.0	53.0	0.0	157.0
27.0	78.0	-78.0	0.0	0.0	243.0	1000.0	166.0	0.0	445.0
28.0	222.0	-222.0	0.0	0.0	142.0	1000.0	397.0	0.0	665.0
29.0	332.0	-332.0	0.0	0.0	96.0	1000.0	639.0	0.0	812.0
30.0	400.0	-400.0	0.0	0.0	96.0	1000.0	456.0	0.0	731.0
31.0	365.0	-365.0	0.0	0.0	238.0	1000.0	220.0	0.0	487.0
32.0	243.0	-243.0	3.0	5.0	495.0	1000.0	64.0	2.0	223.0
33.0	111.0	-111.0	0.0	57.0	1000.0	433.0	53.0	0.0	-188.0
34.0	-94.0	94.0	0.0	115.0	1000.0	158.0	48.0	0.0	-467.0
35.0	-233.0	233.0	3.0	254.0	1000.0	61.0	5.0	0.0	-647.0
36.0	-323.0	323.0	0.0	306.0	1000.0	51.0	53.0	0.0	-606.0
37.0	-303.0	303.0	0.0	242.0	1000.0	51.0	53.0	0.0	-564.0
38.0	-282.0	282.0	0.0	121.0	1000.0	163.0	0.0	0.0	-468.0
39.0	-234.0	234.0	0.0	52.0	1000.0	331.0	48.0	0.0	-299.0
40.0	-149.0	149.0	0.0	0.0	692.0	826.0	53.0	0.0	93.0
41.0	46.0	-46.0	0.0	0.0	339.0	1000.0	107.0	0.0	339.0
42.0	169.0	-169.0	0.0	0.0	201.0	1000.0	236.0	0.0	524.0
43.0	262.0	-262.0	0.0	0.0	146.0	1000.0	284.0	0.0	596.0
44.0	298.0	-298.0	0.0	0.0	192.0	1000.0	220.0	0.0	519.0
45.0	259.0	-259.0	0.0	0.0	348.0	1000.0	118.0	0.0	343.0
46.0	171.0	-171.0	0.0	0.0	596.0	938.0	53.0	0.0	157.0
47.0	78.0	-78.0	0.0	52.0	894.0	489.0	48.0	0.0	-196.0
48.0	-98.0	98.0	3.0	63.0	1000.0	275.0	59.0	0.0	-264.0
49.0	-132.0	132.0	0.0	121.0	1000.0	163.0	53.0	0.0	-390.0
50.0	-195.0	195.0	0.0	115.0	1000.0	158.0	48.0	0.0	-467.0
51.0	-233.0	233.0	3.0	63.0	1000.0	224.0	59.0	0.0	-293.0
52.0	-146.0	146.0	0.0	52.0	1000.0	321.0	48.0	0.0	-305.0
53.0	-152.0	152.0	0.0	0.0	894.0	545.0	53.0	0.0	-64.0
54.0	-32.0	32.0	0.0	0.0	637.0	816.0	53.0	0.0	112.0
55.0	56.0	-56.0	0.0	0.0	495.0	1000.0	53.0	0.0	214.0
56.0	107.0	-107.0	0.0	0.0	435.0	1000.0	107.0	0.0	287.0
57.0	143.0	-143.0	0.0	0.0	486.0	1000.0	53.0	0.0	218.0
58.0	109.0	-109.0	0.0	0.0	596.0	994.0	53.0	0.0	169.0
59.0	84.0	-84.0	0.0	0.0	692.0	826.0	53.0	0.0	93.0
60.0	46.0	-46.0	0.0	0.0	788.0	653.0	53.0	0.0	8.0
61.0	4.0	-4.0	0.0	0.0	848.0	607.0	53.0	0.0	-28.0
62.0	-14.0	14.0	0.0	0.0	848.0	556.0	53.0	0.0	-46.0
63.0	-23.0	23.0	0.0	0.0	899.0	545.0	53.0	0.0	-66.0
64.0	-33.0	33.0	3.0	5.0	848.0	607.0	64.0	2.0	-17.0
65.0	-8.0	8.0	0.0	0.0	848.0	607.0	53.0	0.0	-28.0
66.0	-14.0	14.0	0.0	0.0	844.0	596.0	53.0	0.0	-30.0
67.0	-15.0	15.0	0.0	11.0	848.0	607.0	64.0	2.0	-17.0
68.0	-8.0	8.0	0.0	0.0	848.0	607.0	53.0	0.0	-28.0
69.0	-14.0	14.0	0.0	0.0	844.0	596.0	48.0	0.0	-87.0
70.0	-43.0	43.0	0.0	0.0	839.0	596.0	53.0	0.0	-29.0
71.0	-14.0	14.0	0.0	0.0	848.0	607.0	53.0	0.0	-28.0
72.0	-14.0	14.0	0.0	0.0	793.0	653.0	53.0	0.0	6.0
73.0	3.0	-3.0	0.0	0.0	834.0	647.0	48.0	0.0	-64.0
74.0	-32.0	32.0	0.0	0.0	844.0	607.0	53.0	0.0	-26.0
75.0	-13.0	13.0	0.0	0.0	793.0	663.0	53.0	0.0	9.0
76.0	4.0	-4.0	0.0	0.0	839.0	653.0	53.0	0.0	-9.0
77.0	-4.0	4.0	0.0	0.0	844.0	663.0	53.0	0.0	-8.0
78.0	-4.0	4.0	0.0	0.0	844.0	607.0	53.0	0.0	-26.0
79.0	-13.0	13.0	0.0	0.0	844.0	653.0	53.0	0.0	-11.0
80.0	-5.0	5.0	3.0	5.0	844.0	663.0	64.0	2.0	3.0
81.0	1.0	-1.0	0.0	0.0	844.0	663.0	53.0	0.0	-8.0
82.0	-4.0	4.0	0.0	0.0	793.0	653.0	53.0	0.0	6.0
83.0	3.0	-3.0	0.0	5.0	793.0	658.0	59.0	0.0	13.0
84.0	6.0	-6.0	0.0	0.0	844.0	602.0	48.0	0.0	-84.0
85.0	-42.0	42.0	0.0	0.0	844.0	653.0	53.0	0.0	-11.0
86.0	-5.0	5.0	0.0	0.0	784.0	653.0	53.0	0.0	9.0
87.0	4.0	-4.0	0.0	0.0	793.0	663.0	53.0	0.0	9.0
88.0	4.0	-4.0	0.0	0.0	844.0	653.0	53.0	0.0	-11.0
89.0	-5.0	5.0	0.0	0.0	834.0	653.0	53.0	0.0	-8.0
90.0	-4.0	4.0	0.0	0.0	798.0	663.0	53.0	0.0	7.0
91.0	3.0	-3.0	0.0	0.0	844.0	663.0	53.0	0.0	-8.0
92.0	-4.0	4.0	0.0	0.0	839.0	653.0	53.0	0.0	-9.0
93.0	-4.0	4.0	0.0	0.0	793.0	663.0	53.0	0.0	9.0
94.0	4.0	-4.0	0.0	0.0	844.0	663.0	53.0	0.0	-8.0
95.0	-4.0	4.0	0.0	0.0	844.0	653.0	48.0	0.0	-64.0
96.0	-32.0	32.0	3.0	5.0	798.0	663.0	64.0	2.0	18.0
97.0	9.0	-9.0	0.0	0.0	793.0	663.0	53.0	0.0	9.0
98.0	4.0	-4.0	0.0	0.0	844.0	653.0	48.0	0.0	-64.0
99.0	-32.0	32.0	0.0	5.0	844.0	658.0	59.0	0.0	-3.0
100.0	-1.0	1.0	0.0	0.0	793.0	658.0	53.0	0.0	7.0
101.0	3.0	-3.0	0.0	0.0	793.0	653.0	53.0	0.0	6.0
102.0	3.0	-3.0	0.0	0.0	834.0	653.0	53.0	0.0	-8.0
103.0	-4.0	4.0	0.0	0.0	844.0	658.0	53.0	0.0	-9.0
104.0	-4.0	4.0	0.0	0.0	793.0	653.0	53.0	0.0	6.0
105.0	3.0	-3.0	0.0	0.0	834.0	653.0	53.0	0.0	-8.0
106.0	-4.0	4.0	0.0	0.0	844.0	663.0	53.0	0.0	-8.0
107.0	-4.0	4.0	0.0	0.0	793.0	658.0	53.0	0.0	7.0
108.0	3.0	-3.0	0.0	0.0	834.0	653.0	53.0	0.0	-8.0
109.0	-4.0	4.0	0.0	0.0	844.0	663.0	53.0	0.0	-8.0
110.0	-4.0	4.0	0.0	0.0	844.0	658.0	53.0	0.0	-9.0
111.0	-4.0	4.0	0.0	0.0	784.0	647.0	48.0	0.0	-48.0
112.0	-24.0	24.0	3.0	5.0	844.0	658.0	59.0	0.0	-3.0
113.0	-1.0	1.0	0.0	0.0	844.0	658.0	53.0	0.0	-9.0
114.0	-4.0	4.0	0.0	0.0	793.0	653.0	53.0	0.0	6.0
115.0	3.0	-3.0	0.0	5.0	793.0	663.0	64.0	2.0	20.0
116.0	10.0	-10.0	0.0	0.0	844.0	658.0	53.0	0.0	-9.0
117.0	-4.0	4.0	0.0	0.0	793.0	647.0	48.0	0.0	-51.0
118.0	-25.0	25.0	0.0	0.0	788.0	658.0	53.0	0.0	9.0
119.0	4.0	-4.0	0.0	0.0	793.0	663.0	53.0	0.0	9.0
120.0	4.0	-4.0	0.0	0.0	844.0	653.0	48.0	0.0	-64.0
121.0	-32.0	32.0	0.0	0.0	834.0	653.0	53.0	0.0	-8.0
122.0	-4.0	4.0	0.0	0.0	793.0	658.0	53.0	0.0	7.0
123.0	3.0	-3.0	0.0	0.0	844.0	663.0	53.0	0.0	-8.0
124.0	-4.0	4.0	0.0	0.0	839.0	653.0	53.0	0.0	-9.0
125.0	-4.0	4.0	0.0	0.0	793.0	658.0	48.0	0.0	-47.0
126.0	-23.0	23.0	0.0	0.0	844.0	663.0	53.0	0.0	-8.0
127.0	-4.0	4.0	0.0	0.0	844.0	653.0	53.0	0.0	-11.0
128.0	-5.0	5.0	3.0	5.0	844.0	663.0	64.0	2.0	3.0
129.0	1.0	-1.0	0.0	0.0	793.0	658.0	48.0	0.0	-47.0
130.0	-23.0	23.0	0.0	0.0	844.0	653.0	53.0	0.0	-11.0
131.0	-5.0	5.0	0.0	5.0	844.0	658.0	59.0	0.0	-3.0
132.0	-1.0	1.0	0.0	0.0	793.0	663.0	53.0	0.0	9.0
133.0	4.0	-4.0	0.0	0.0	844.0	653.0	53.0	0.0	-11.0
134.0	-5.0	5.0	0.0	0.0	839.0	602.0	53.0	0.0	-27.0
135.0	-13.0	13.0	0.0	0.0	844.0	658.0	53.0	0.0	-9.0
136.0	-4.0	4.0	0.0	0.0	793.0	653.0	48.0	0.0	-49.0
137.0	-24.0	24.0	0.0	0.0	834.0	653.0	48.0	0.0	-61.0
138.0	-30.0	30.0	0.0	0.0	844.0	658.0	53.0	0.0	-9.0
139.0	-4.0	4.0	0.0	0.0	844.0	663.0	53.0	0.0	-8.0
140.0	-4.0	4.0	0.0	0.0	784.0	647.0	48.0	0.0	-48.0
141.0	-24.0	24.0	0.0	0.0	844.0	658.0	53.0	0.0	-9.0
142.0	-4.0	4.0	0.0	0.0	844.0	658.0	48.0	0.0	-62.0
143.0	-31.0	31.0	0.0	0.0	788.0	653.0	53.0	0.0	8.0
144.0	4.0	-4.0	3.0	5.0	798.0	663.0	64.0	2.0	18.0
145.0	9.0	-9.0	0.0	0.0	844.0	658.0	48.0	0.0	-62.0
146.0	-31.0	31.0	0.0	0.0	798.0	653.0	53.0	0.0	4.0
147.0	2.0	-2.0	0.0	11.0	798.0	663.0	64.0	2.0	18.0
148.0	9.0	-9.0	0.0	0.0	844.0	663.0	53.0	0.0	-8.0
149.0	-4.0	4.0	0.0	0.0	844.0	653.0	53.0	0.0	-11.0
150.0	-5.0	5.0	0.0	0.0	788.0	602.0	53.0	0.0	-10.0
151.0	-5.0	5.0	0.0	0.0	793.0	663.0	53.0	0.0	9.0
152.0	4.0	-4.0	0.0	0.0	844.0	653.0	53.0	0.0	-11.0
153.0	-5.0	5.0	0.0	0.0	834.0	653.0	53.0	0.0	-8.0
154.0	-4.0	4.0	0.0	0.0	793.0	663.0	53.0	0.0	9.0
155.0	4.0	-4.0	0.0	0.0	844.0	663.0	53.0	0.0	-8.0
156.0	-4.0	4.0	0.0	0.0	834.0	647.0	48.0	0.0	-64.0
157.0	-32.0	32.0	0.0	0.0	793.0	658.0	53.0	0.0	7.0
