n	R (ref)	uL	uR	sensor 0	sensor 1	sensor 2	sensor 3	sensor 4	sensor 5	error
0.0	0.0	0.0	0.0	0.0	77.0	765.0	464.0	0.0	0.0	-204.0
1.0	0.0942477794682	-61.0	61.0	0.0	69.0	770.0	470.0	0.0	0.0	-194.0
2.0	0.376991109501	-58.0	58.0	0.0	69.0	714.0	459.0	0.0	0.0	-186.0
3.0	0.848229914753	-55.0	55.0	0.0	77.0	709.0	464.0	0.0	0.0	-191.0
4.0	1.50796390222	-57.0	57.0	0.0	69.0	602.0	529.0	0.0	0.0	-117.0
5.0	2.35619231006	-35.0	35.0	0.0	69.0	658.0	518.0	0.0	0.0	-140.0
6.0	3.39291355605	-42.0	42.0	0.0	69.0	647.0	518.0	0.0	0.0	-137.0
7.0	4.61812478544	-42.0	42.0	0.0	69.0	658.0	529.0	0.0	4.0	-134.0
8.0	6.03182131847	-42.0	42.0	0.0	77.0	663.0	529.0	0.0	0.0	-144.0
9.0	7.63399599741	-45.0	45.0	0.0	77.0	653.0	518.0	0.0	0.0	-147.0
10.0	9.42463843314	-46.0	46.0	6.0	93.0	663.0	529.0	3.0	4.0	-161.0
11.0	11.4037341513	-51.0	51.0	0.0	77.0	663.0	529.0	0.0	0.0	-144.0
12.0	13.5712636382	-47.0	47.0	0.0	69.0	653.0	518.0	0.0	0.0	-138.0
13.0	15.9272012861	-45.0	45.0	6.0	85.0	658.0	524.0	0.0	0.0	-154.0
14.0	18.4715142381	-51.0	51.0	0.0	77.0	663.0	529.0	0.0	0.0	-144.0
15.0	21.2041611335	-49.0	49.0	0.0	77.0	653.0	524.0	0.0	0.0	-144.0
16.0	24.1250907522	-50.0	50.0	0.0	77.0	653.0	524.0	0.0	0.0	-144.0
17.0	27.2342405589	-51.0	51.0	0.0	77.0	663.0	529.0	0.0	0.0	-144.0
18.0	30.5315351482	-52.0	52.0	0.0	77.0	663.0	518.0	0.0	0.0	-150.0
19.0	34.0168845891	-55.0	55.0	0.0	69.0	653.0	518.0	0.0	0.0	-138.0
20.0	37.6901826699	-52.0	52.0	0.0	77.0	663.0	529.0	0.0	0.0	-144.0
21.0	41.5513050442	-55.0	55.0	0.0	77.0	663.0	518.0	0.0	0.0	-150.0
22.0	45.6001072769	-58.0	58.0	0.0	77.0	653.0	518.0	0.0	0.0	-147.0
23.0	49.8364227917	-58.0	58.0	0.0	69.0	658.0	529.0	0.0	4.0	-134.0
24.0	54.2600607199	-56.0	56.0	0.0	77.0	663.0	529.0	0.0	0.0	-144.0
25.0	58.8708036512	-60.0	60.0	0.0	77.0	653.0	518.0	0.0	0.0	-147.0
26.0	63.6684052858	-63.0	63.0	6.0	85.0	658.0	524.0	0.0	0.0	-154.0
27.0	68.6525879905	-66.0	66.0	0.0	77.0	663.0	529.0	0.0	0.0	-144.0
28.0	73.8230402566	-65.0	65.0	0.0	77.0	653.0	518.0	0.0	0.0	-147.0
29.0	79.1794140629	-67.0	67.0	6.0	85.0	663.0	529.0	0.0	4.0	-153.0
30.0	84.7213221421	-71.0	71.0	0.0	69.0	658.0	529.0	0.0	0.0	-134.0
31.0	90.4483351535	-67.0	67.0	0.0	77.0	653.0	518.0	0.0	0.0	-147.0
32.0	96.3599787613	-72.0	72.0	0.0	69.0	653.0	518.0	0.0	0.0	-138.0
33.0	102.45573062	-72.0	72.0	0.0	69.0	602.0	524.0	0.0	0.0	-120.0
34.0	108.735017269	-68.0	68.0	0.0	69.0	658.0	518.0	0.0	0.0	-140.0
35.0	115.197210933	-76.0	76.0	0.0	77.0	653.0	518.0	0.0	0.0	-147.0
36.0	121.84162624	-80.0	80.0	0.0	77.0	663.0	529.0	0.0	0.0	-144.0
37.0	128.667516845	-81.0	81.0	0.0	77.0	607.0	578.0	0.0	0.0	-104.0
38.0	135.674071967	-71.0	71.0	0.0	77.0	596.0	578.0	0.0	0.0	-100.0
39.0	142.860412847	-72.0	72.0	0.0	69.0	602.0	583.0	0.0	4.0	-91.0
40.0	150.225589121	-72.0	72.0	0.0	77.0	551.0	589.0	0.0	0.0	-80.0
41.0	157.768575104	-71.0	71.0	0.0	69.0	591.0	632.0	0.0	0.0	-65.0
42.0	165.488266008	-69.0	69.0	6.0	7.0	545.0	643.0	0.0	4.0	41.0
43.0	173.383474076	-39.0	39.0	0.0	69.0	545.0	643.0	35.0	0.0	-44.0
44.0	181.45292464	-67.0	67.0	0.0	69.0	535.0	632.0	35.0	0.0	-45.0
45.0	189.695252114	-70.0	70.0	6.0	7.0	551.0	648.0	3.0	4.0	40.0
46.0	198.108995914	-47.0	47.0	0.0	69.0	545.0	643.0	31.0	0.0	-44.0
47.0	206.692596308	-75.0	75.0	0.0	0.0	540.0	697.0	35.0	0.0	63.0
48.0	215.444390219	-45.0	45.0	0.0	0.0	540.0	637.0	0.0	0.0	41.0
49.0	224.362606947	-54.0	54.0	0.0	0.0	494.0	708.0	35.0	0.0	89.0
50.0	233.445363856	-43.0	43.0	0.0	0.0	484.0	708.0	35.0	0.0	93.0
51.0	242.690661995	-44.0	44.0	0.0	0.0	540.0	697.0	35.0	0.0	63.0
52.0	252.096381683	-56.0	56.0	0.0	0.0	489.0	702.0	35.0	0.0	89.0
53.0	261.660278038	-51.0	51.0	0.0	0.0	540.0	702.0	35.0	0.0	65.0
54.0	271.379976483	-61.0	61.0	0.0	0.0	484.0	697.0	35.0	0.0	90.0
55.0	281.252968206	-57.0	57.0	0.0	0.0	494.0	708.0	0.0	4.0	89.0
56.0	291.276605598	-60.0	60.0	0.0	0.0	494.0	708.0	39.0	0.0	89.0
57.0	301.448097667	-63.0	63.0	0.0	0.0	484.0	697.0	35.0	0.0	90.0
58.0	311.764505433	-66.0	66.0	0.0	0.0	489.0	702.0	0.0	0.0	89.0
59.0	322.222737318	-69.0	69.0	0.0	0.0	489.0	702.0	35.0	0.0	89.0
60.0	332.819544523	-72.0	72.0	0.0	0.0	428.0	697.0	35.0	0.0	119.0
61.0	343.551516414	-67.0	67.0	6.0	7.0	494.0	708.0	0.0	4.0	89.0
62.0	354.415075912	-79.0	79.0	0.0	0.0	489.0	702.0	35.0	0.0	89.0
63.0	365.406474905	-82.0	82.0	0.0	0.0	484.0	756.0	35.0	0.0	109.0
64.0	376.521789678	-80.0	80.0	0.0	0.0	428.0	756.0	35.0	0.0	138.0
65.0	387.756916378	-74.0	74.0	0.0	0.0	438.0	767.0	35.0	0.0	136.0
66.0	399.10756652	-78.0	78.0	0.0	0.0	428.0	821.0	35.0	0.0	157.0
67.0	410.56926254	-75.0	75.0	0.0	0.0	377.0	816.0	35.0	0.0	183.0
